Line# | # then | # else | conditional expression
5181       0       0           pending_exact
5188       1       0           '+'
5189       1       0           '?'
5190       0       1           (syntax & ((1) << 1)) || (syntax & (((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1))
5194       1       0           '*'
5196       0       1           !laststart
5198       0       0           syntax & ((((((1) << 1) << 1) << 1) << 1) << 1)
5200       0       0           !(syntax & (((((1) << 1) << 1) << 1) << 1))
5221       1       0           p == pend
5224       0       0           0
5224       0       0           p == pend
5224       0       0           translate
5226       0       0           c == '*' || (!(syntax & ((1) << 1)) && (c == '+' || c == '?'))
5230       0       0           syntax & ((1) << 1) && c == '\'
5232       0       0           p == pend
5234       0       0           0
5234       0       0           p == pend
5234       0       0           translate
5235       0       0           !(c1 == '+' || c1 == '?')
5255       0       1           !laststart
5260       1       0           many_times_ok
5266       0       1           b - bufp->buffer + (3) > bufp->allocated
5266       0       0           0
5266       0       0           bufp->allocated == (1L << 16)
5266       0       0           bufp->allocated > (1L << 16)
5266       0       0           bufp->buffer == ((void *)0)
5270       0       0           old_buffer != bufp->buffer
5270       0       0           fixup_alt_jump
5270       0       0           laststart
5270       0       0           pending_exact
5277       0       1           (translate ? translate[(unsigned char)(*(p - 2))] : (*(p - 2))) == (translate ? translate[(unsigned char)('.')] : ('.')) && zero_times_ok && p < pend && (translate ? translate[(unsigned char)(*p)] : (*p)) == (translate ? translate[(unsigned char)('
')] : ('
')) && !(syntax & (((((((1) << 1) << 1) << 1) << 1) << 1) << 1))
5277       0       1           translate
5277       0       1           translate
5279       0       0           translate
5279       0       0           translate
5295       0       1           b - bufp->buffer + (3) > bufp->allocated
5295       0       0           0
5295       0       0           bufp->allocated == (1L << 16)
5295       0       0           bufp->allocated > (1L << 16)
5295       0       0           bufp->buffer == ((void *)0)
5299       0       0           old_buffer != bufp->buffer
5299       0       0           fixup_alt_jump
5299       0       0           laststart
5299       0       0           pending_exact
5300       0       1           keep_string_p
5306       1       0           !zero_times_ok
5313       0       1           b - bufp->buffer + (3) > bufp->allocated
5313       0       0           0
5313       0       0           bufp->allocated == (1L << 16)
5313       0       0           bufp->allocated > (1L << 16)
5313       0       0           bufp->buffer == ((void *)0)
5317       0       0           old_buffer != bufp->buffer
5317       0       0           fixup_alt_jump
5317       0       0           laststart
5317       0       0           pending_exact
5325       0       0           '.'
5327       0       0           0
5327       0       0           b - bufp->buffer + (1) > bufp->allocated
5327       0       0           0
5327       0       0           bufp->allocated == (1L << 16)
5327       0       0           bufp->allocated > (1L << 16)
5327       0       0           bufp->buffer == ((void *)0)
5331       0       0           old_buffer != bufp->buffer
5331       0       0           fixup_alt_jump
5331       0       0           laststart
5331       0       0           pending_exact
5335       2       0           '['
5339       0       2           p == pend
5343       1       2           b - bufp->buffer + (34) > bufp->allocated
5343       0       1           0
5343       0       1           bufp->allocated == (1L << 16)
5343       0       1           bufp->allocated > (1L << 16)
5343       0       1           bufp->buffer == ((void *)0)
5347       1       0           old_buffer != bufp->buffer
5347       0       1           fixup_alt_jump
5347       0       1           laststart
5347       0       1           pending_exact
5353       0       2           0
5353       0       2           b - bufp->buffer + (1) > bufp->allocated
5353       0       0           0
5353       0       0           bufp->allocated == (1L << 16)
5353       0       0           bufp->allocated > (1L << 16)
